channel_name,uuid
BBC FOUR HD,b5ff5c13c03d728cca5b1431febf0cc9
BBC ONE EastHD,d89d291fb7478593e861dd5a2458a7b5
BBC TWO HD,542350e3992fbf922375391f0a18d5b2
Channel 4 HD,359a0288a516fb98a2f4838f8c4c9106
Channel 5,1bab02ca9a91269d34b4ed8b28dbd1b8
Dave,85da4d1103cda88e83560a13841bef4c
Drama,1f03dce82e19dcdff2d85d5a9c132580
Film4,5e3728e4322939b517235a48218006ec
ITV1 HD,0a41db66054e50732f15fd764a6ebcb5
ITV3,58779465b6fdfb0e7c644d9adde58b17
ITV4,fd528bb955db01d0731cffec03e966a6
TalkingPictures TV,1f723c5b873c3c23a217af34b0bedc52
Yesterday,b10cb118fb66c31a886c71409478535d
